id,userId,loginId,Algorithm,count_total_played,count_rec_played,count_refresh
0,1892,Nm0bajY,TagSimilarity,1,0.0,0.0
1,12337,OnHpLST,PredictedRating,1,0.0,0.0
2,16783,2bqCVrC,TagSimilarity,19,0.0,0.0
3,22005,M1nww5f,ShuffledTopPicks,1,0.0,0.0
4,26229,t7hZ2Ty,PredictedRating,1,0.0,0.0
5,36452,XpQ2umM,FilmReleaseDate,8,0.0,0.0
6,41965,1gT5zeZ,PredictedRating,1,0.0,0.0
7,41965,1xaQ8Fy,TagSimilarity,2,0.0,0.0
8,41965,95ylvvy,PredictedRating,1,0.0,0.0
9,41965,Fca2XFK,ShuffledTopPicks,5,0.0,0.0
10,41965,FhN7DUM,TagSimilarity,2,0.0,0.0
11,41965,bOvnPi2,ShuffledTopPicks,3,0.0,0.0
12,41965,hhncFSk,ShuffledTopPicks,3,0.0,0.0
13,41965,jPeJqMw,FilmReleaseDate,1,0.0,0.0
14,41965,najchKV,TagSimilarity,1,0.0,0.0
15,41965,wgcC54h,TagSimilarity,1,0.0,0.0
16,41965,yiDjKPy,FilmReleaseDate,3,0.0,0.0
17,41965,zZcmZth,PredictedRating,5,0.0,0.0
18,42170,sik1QqB,FilmReleaseDate,1,0.0,0.0
19,42529,Ycmoe35,PredictedRating,1,0.0,0.0
20,42529,bQQPqjZ,TagSimilarity,2,0.0,0.0
21,43070,CIDkb3v,ShuffledTopPicks,1,0.0,0.0
22,43070,Ep7T2t4,ShuffledTopPicks,1,0.0,0.0
23,43070,HqticLk,PredictedRating,1,0.0,0.0
24,43070,SSfJY80,FilmReleaseDate,1,0.0,0.0
25,43070,XlaevtR,PredictedRating,1,0.0,0.0
26,43070,bTBdQAV,PredictedRating,1,0.0,0.0
27,43070,cLdnrWB,FilmReleaseDate,1,0.0,0.0
28,43070,j9DOBGM,FilmReleaseDate,1,0.0,0.0
29,43070,nNJ1IU2,ShuffledTopPicks,1,0.0,0.0
30,43070,uJdWUEc,ShuffledTopPicks,1,0.0,0.0
31,43070,wUCYIMG,TagSimilarity,1,0.0,0.0
32,43070,xjUUC6n,PredictedRating,1,0.0,0.0
33,43108,CSzxBYl,ShuffledTopPicks,2,0.0,0.0
34,43108,pIY9rIT,ShuffledTopPicks,1,0.0,0.0
35,43115,0GiIzaa,ShuffledTopPicks,1,0.0,0.0
36,43115,0Stu0c3,TagSimilarity,1,0.0,0.0
37,43115,28w2qUu,ShuffledTopPicks,1,0.0,0.0
38,43115,3AsBvWR,FilmReleaseDate,3,0.0,0.0
39,43115,9IBe6Zy,TagSimilarity,1,0.0,0.0
40,43115,A0sRVAp,FilmReleaseDate,3,0.0,0.0
41,43115,BhKggfz,PredictedRating,1,0.0,0.0
42,43115,CyMmhsI,FilmReleaseDate,6,0.0,0.0
43,43115,E2pkIjw,TagSimilarity,1,0.0,0.0
44,43115,EwxX7Pm,FilmReleaseDate,3,0.0,0.0
45,43115,ExgDval,ShuffledTopPicks,1,0.0,0.0
46,43115,FG6qkiu,PredictedRating,1,0.0,0.0
47,43115,FglvbC5,TagSimilarity,1,0.0,0.0
48,43115,FuVGEmI,FilmReleaseDate,1,0.0,0.0
49,43115,H8NDG4p,PredictedRating,1,0.0,0.0
50,43115,IE1IjVm,TagSimilarity,3,0.0,0.0
51,43115,J7lTeY7,FilmReleaseDate,10,0.0,0.0
52,43115,NWm4ckC,FilmReleaseDate,1,0.0,0.0
53,43115,PsfqcrV,FilmReleaseDate,1,0.0,0.0
54,43115,TYJlPxZ,TagSimilarity,3,2.0,0.0
55,43115,UMlXtWm,FilmReleaseDate,2,0.0,0.0
56,43115,UbozzN1,ShuffledTopPicks,12,0.0,0.0
57,43115,XhyQ1TK,FilmReleaseDate,1,0.0,0.0
58,43115,XlqAk8m,FilmReleaseDate,1,0.0,0.0
59,43115,bl2JVsA,ShuffledTopPicks,2,2.0,0.0
60,43115,c2Ko3j9,ShuffledTopPicks,3,0.0,0.0
61,43115,cfmGUdJ,FilmReleaseDate,1,0.0,0.0
62,43115,e5KqIy3,FilmReleaseDate,5,0.0,0.0
63,43115,gVQfAZD,PredictedRating,9,0.0,0.0
64,43115,hwYZBXR,TagSimilarity,5,3.0,0.0
65,43115,iCXzfLK,ShuffledTopPicks,1,0.0,0.0
66,43115,j5WIbcE,FilmReleaseDate,1,0.0,0.0
67,43115,jIvPrpq,FilmReleaseDate,1,0.0,0.0
68,43115,lXyTmtY,ShuffledTopPicks,1,0.0,0.0
69,43115,nXM5hHL,ShuffledTopPicks,3,2.0,0.0
70,43115,pRA3BpO,TagSimilarity,1,0.0,0.0
71,43115,ro3ByBH,TagSimilarity,1,0.0,0.0
72,43115,xHKtTN1,TagSimilarity,1,0.0,0.0
73,43115,xVQ72wo,TagSimilarity,1,0.0,0.0
74,43115,xZxH9Iu,FilmReleaseDate,1,0.0,0.0
75,43115,z79I9lL,TagSimilarity,2,0.0,0.0
76,43294,Ez4k5j3,TagSimilarity,2,0.0,0.0
77,43670,u6six3Q,ShuffledTopPicks,1,0.0,0.0
78,43670,ysrXR4t,PredictedRating,3,0.0,0.0
79,43715,CM1zuHn,TagSimilarity,1,0.0,0.0
80,43715,PwKCosY,PredictedRating,3,0.0,0.0
81,43715,RrsTLS4,PredictedRating,2,0.0,0.0
82,43715,VNjsfBq,ShuffledTopPicks,1,0.0,0.0
83,43715,vxz2pia,PredictedRating,1,0.0,0.0
84,43715,wp7bwZJ,ShuffledTopPicks,2,0.0,0.0
85,43994,SXBsoLa,FilmReleaseDate,1,0.0,0.0
86,44219,5DaxKIs,PredictedRating,2,0.0,0.0
87,44259,3xYxPqa,PredictedRating,3,0.0,0.0
88,44259,IbjwmTQ,FilmReleaseDate,6,0.0,0.0
89,44259,g8NRPwW,TagSimilarity,1,0.0,0.0
90,44259,vWsKSBg,FilmReleaseDate,3,0.0,0.0
91,44282,FkAC90H,TagSimilarity,1,0.0,0.0
92,44297,JWdOmMd,FilmReleaseDate,1,0.0,0.0
93,44297,QZElHow,FilmReleaseDate,1,0.0,0.0
94,44297,ZFs1PB3,ShuffledTopPicks,1,0.0,0.0
95,44297,aTfyOw5,FilmReleaseDate,1,0.0,0.0
96,44297,cvagHlM,PredictedRating,1,0.0,0.0
97,44297,gCGZe7W,FilmReleaseDate,1,0.0,0.0
98,44297,ypztIK6,ShuffledTopPicks,1,0.0,0.0
99,47315,QCQcblN,ShuffledTopPicks,3,1.0,0.0
100,47571,b9r2GEn,TagSimilarity,1,0.0,0.0
101,47571,kXgO3Ge,PredictedRating,1,0.0,0.0
102,47571,rsGaKOl,TagSimilarity,1,0.0,0.0
103,47571,v67g8cJ,TagSimilarity,1,0.0,0.0
104,48295,tLc1FAx,FilmReleaseDate,1,0.0,0.0
105,48299,6jtKa6R,PredictedRating,1,0.0,0.0
106,48299,7q6jPTU,PredictedRating,3,0.0,0.0
107,48299,7uRHeUi,FilmReleaseDate,3,0.0,0.0
108,48299,IjeJzhs,FilmReleaseDate,1,0.0,0.0
109,48299,LY55vAB,TagSimilarity,2,0.0,0.0
110,48299,MOKyveJ,ShuffledTopPicks,1,0.0,0.0
111,48299,MkwbUwZ,PredictedRating,4,0.0,0.0
112,48299,OY5RAIa,ShuffledTopPicks,1,0.0,0.0
113,48299,Yz0gGzZ,FilmReleaseDate,2,0.0,0.0
114,48299,asMjqz8,PredictedRating,3,0.0,0.0
115,49365,YCz5Ewr,TagSimilarity,1,0.0,0.0
116,49907,tPMsBo7,FilmReleaseDate,2,0.0,0.0
117,49907,tukoWoq,FilmReleaseDate,1,0.0,0.0
118,50381,Erpltyd,FilmReleaseDate,1,0.0,0.0
119,50381,I0NDs9H,FilmReleaseDate,2,0.0,0.0
120,50381,p1iuYUT,ShuffledTopPicks,2,0.0,0.0
121,50381,sSwgUcq,ShuffledTopPicks,1,0.0,0.0
122,50381,ymDwL6R,PredictedRating,1,0.0,0.0
123,50449,TZDDxRp,TagSimilarity,1,0.0,0.0
124,50449,VTOkVBA,PredictedRating,1,0.0,0.0
125,50449,XYXWqA9,FilmReleaseDate,1,0.0,0.0
126,50449,sbOgAam,FilmReleaseDate,1,0.0,0.0
127,50449,wnuVIjS,ShuffledTopPicks,1,0.0,0.0
128,50449,xrqYgr8,PredictedRating,2,0.0,0.0
129,51892,WevaR5Q,ShuffledTopPicks,3,0.0,0.0
130,51892,bDHiwPC,FilmReleaseDate,1,0.0,0.0
131,51892,f1vUTWE,TagSimilarity,1,0.0,0.0
132,51892,j8KybAg,ShuffledTopPicks,2,0.0,0.0
133,51892,reSNSGV,ShuffledTopPicks,1,0.0,0.0
134,51892,sEWYhRq,FilmReleaseDate,1,0.0,0.0
135,52240,GQWcKqA,FilmReleaseDate,4,0.0,0.0
136,52589,bKnVegM,PredictedRating,2,0.0,0.0
137,52589,gNuks8e,ShuffledTopPicks,1,0.0,0.0
138,52717,SYmr7xl,PredictedRating,1,0.0,0.0
139,52717,ZjliMm1,TagSimilarity,2,0.0,0.0
140,52717,g4PoxGA,TagSimilarity,8,0.0,0.0
141,53112,4oMjL4o,ShuffledTopPicks,1,0.0,0.0
142,53451,LkuL1v4,ShuffledTopPicks,1,0.0,0.0
143,53451,Twnrul9,ShuffledTopPicks,1,0.0,0.0
144,53451,gZU6tCJ,TagSimilarity,1,0.0,0.0
145,53451,pJg4NiO,FilmReleaseDate,1,0.0,0.0
146,53451,ztnToMY,PredictedRating,1,0.0,0.0
147,53979,eduqhYr,FilmReleaseDate,1,0.0,0.0
148,53982,mGJh7Bb,PredictedRating,1,0.0,0.0
149,54486,JUdtZFF,FilmReleaseDate,4,0.0,0.0
150,54486,fGk9k0I,TagSimilarity,3,2.0,0.0
151,54770,1AX613Y,PredictedRating,1,0.0,0.0
152,54770,1vwKEeN,PredictedRating,1,0.0,0.0
153,54770,66rSU3b,PredictedRating,4,0.0,0.0
154,54955,KEO6vmB,ShuffledTopPicks,1,0.0,0.0
155,54955,kyPcsSx,PredictedRating,1,0.0,0.0
156,55259,B6SpOMp,PredictedRating,1,0.0,0.0
157,55259,MQe3sgA,ShuffledTopPicks,1,0.0,0.0
158,55259,SizgmPp,PredictedRating,1,0.0,0.0
159,55259,bc9pY2U,ShuffledTopPicks,1,0.0,0.0
160,55259,dwB8krH,FilmReleaseDate,1,0.0,0.0
161,55259,geSXd2O,FilmReleaseDate,1,0.0,0.0
162,55259,rhZetsi,PredictedRating,1,0.0,0.0
163,55287,SmjZ7ph,FilmReleaseDate,4,0.0,0.0
164,55287,ktpJlTa,ShuffledTopPicks,1,0.0,0.0
165,55401,AV9F5D7,TagSimilarity,1,0.0,0.0
166,55424,T75LrZv,PredictedRating,1,0.0,0.0
167,55424,gIV3eem,PredictedRating,1,0.0,0.0
168,55456,FsUlZDB,FilmReleaseDate,1,0.0,0.0
169,55456,XCnv0gT,ShuffledTopPicks,2,0.0,0.0
170,55492,8KpZYZX,PredictedRating,3,0.0,0.0
171,55492,CYDvpHm,ShuffledTopPicks,1,0.0,0.0
172,55492,CuErq5e,TagSimilarity,1,0.0,0.0
173,55492,jOUyusv,ShuffledTopPicks,2,0.0,0.0
174,55492,oeQffAv,PredictedRating,1,0.0,0.0
175,55995,dE8BZJi,FilmReleaseDate,1,0.0,0.0
176,56210,HWgJLTA,TagSimilarity,2,0.0,0.0
177,56404,G9EYTK8,PredictedRating,4,0.0,0.0
178,56463,osuw2QO,ShuffledTopPicks,1,0.0,0.0
179,56737,4CtyIEI,ShuffledTopPicks,1,0.0,0.0
180,56737,E5gusW4,PredictedRating,1,0.0,0.0
181,56737,w2d0G8J,FilmReleaseDate,1,0.0,0.0
182,57162,8koJSWw,ShuffledTopPicks,1,0.0,0.0
183,57162,DEnQApq,ShuffledTopPicks,1,0.0,0.0
184,57162,ImJcc6B,FilmReleaseDate,1,0.0,0.0
185,57162,Q6jOHnz,TagSimilarity,1,0.0,0.0
186,57162,VBUl0kd,ShuffledTopPicks,1,0.0,0.0
187,57162,WLDw8Lf,TagSimilarity,1,0.0,0.0
188,57704,UuBBlfi,ShuffledTopPicks,1,0.0,0.0
189,58160,43W9Ftt,TagSimilarity,1,0.0,0.0
190,58364,6NNmc4I,FilmReleaseDate,1,0.0,0.0
